athleteName,clubName,countryName,source
Ryō Miyaichi,Arsenal F.C.,Japan,DBpedia
"Stuart Taylor (footballer, born 1980)",Arsenal F.C.,United Kingdom,DBpedia
Joao Rodríguez (footballer),Chelsea F.C.,Colombia,DBpedia
Hakim Ziyech,Chelsea F.C.,Netherlands,DBpedia
Paul McGrath (footballer),Manchester United F.C.,United Kingdom,DBpedia
Alf Baker,Arsenal F.C.,United Kingdom,DBpedia
Spencer Bassett,Arsenal F.C.,United Kingdom,DBpedia
Nicky Ajose,Manchester United F.C.,United Kingdom,DBpedia
Connor Stanley (footballer),Manchester United F.C.,United Kingdom,DBpedia
Billy Wrigglesworth,Manchester United F.C.,United Kingdom,DBpedia
Bryce Fulton,Manchester United F.C.,Scotland,DBpedia
Gary Walsh,Manchester United F.C.,United Kingdom,DBpedia
Mark Beeney,Chelsea F.C.,England,DBpedia
Fraser Digby,Manchester United F.C.,United Kingdom,DBpedia
Alan Gowling,Manchester United F.C.,United Kingdom,DBpedia
Peter Fletcher (footballer),Manchester United F.C.,United Kingdom,DBpedia
Roger Joseph,Chelsea F.C.,United Kingdom,DBpedia
George Clegg,Manchester United F.C.,United Kingdom,DBpedia
Kahlia Hogg,Chelsea F.C.,Australia,DBpedia
Joe Dolan (footballer),Chelsea F.C.,United Kingdom,DBpedia
Lee Doherty,Arsenal F.C.,United Kingdom,DBpedia
"Peter Clark (footballer, born 1979)",Arsenal F.C.,United Kingdom,DBpedia
"James Dunne (footballer, born 1989)",Arsenal F.C.,United Kingdom,DBpedia
Michael Potts (footballer),Manchester United F.C.,United Kingdom,DBpedia
Abu Ogogo,Arsenal F.C.,United Kingdom,DBpedia
"Frederick Groves (footballer, born 1891)",Arsenal F.C.,England,DBpedia
Roger Stanislaus,Arsenal F.C.,United Kingdom,DBpedia
Ronnie Briggs,Manchester United F.C.,United Kingdom,DBpedia
Roy John (footballer),Manchester United F.C.,United Kingdom,DBpedia
Russell Kelly (footballer),Chelsea F.C.,United Kingdom,DBpedia
William Campbell (footballer),Manchester United F.C.,Scotland,DBpedia
"William Gibson (footballer, born 1926)",Arsenal F.C.,United Kingdom,DBpedia
Kingsley Whiffen,Chelsea F.C.,United Kingdom,DBpedia
Karlo Žiger,Chelsea F.C.,Croatia,DBpedia
Jimmy Ashcroft,Arsenal F.C.,United Kingdom,DBpedia
Jimmy Rimmer,Arsenal F.C.,United Kingdom,DBpedia
Johnny Berry,Manchester United F.C.,United Kingdom,DBpedia
James Vance (footballer),Manchester United F.C.,United Kingdom,DBpedia
Sandy Turnbull,Manchester United F.C.,United Kingdom,DBpedia
Bert Cartman,Manchester United F.C.,United Kingdom,DBpedia
Alec Ormiston,Chelsea F.C.,United Kingdom,DBpedia
Leslie Odell,Chelsea F.C.,United Kingdom,DBpedia
"Jimmy Smith (footballer, born 1930)",Chelsea F.C.,United Kingdom,DBpedia
Joe Norton (footballer),Manchester United F.C.,United Kingdom,DBpedia
Thiago Silva,Chelsea F.C.,Brazil,DBpedia
Kalidou Koulibaly,Chelsea F.C.,France,DBpedia
"Harry Wood (footballer, born 2002)",Manchester United F.C.,United Kingdom,DBpedia
Keith Fahey,Arsenal F.C.,Republic of Ireland,DBpedia
Michael Tonge,Manchester United F.C.,United Kingdom,DBpedia
Tony Cascarino,Chelsea F.C.,United Kingdom,DBpedia
"Richard Wilson (footballer, born 1960)",Chelsea F.C.,England,DBpedia
Peter Turner (Scottish footballer),Arsenal F.C.,United Kingdom,DBpedia
"Charlie Wakefield (footballer, born 1998)",Chelsea F.C.,United Kingdom,DBpedia
Gary Donnellan,Chelsea F.C.,United Kingdom,DBpedia
Isaac Owens,Arsenal F.C.,United Kingdom,DBpedia
Leo Donnellan,Chelsea F.C.,United Kingdom,DBpedia
Millen Baars,Manchester United F.C.,Netherlands,DBpedia
Jack Fitchett,Manchester United F.C.,United Kingdom,DBpedia
James Garvey (footballer),Manchester United F.C.,United Kingdom,DBpedia
Jeffrey Monakana,Arsenal F.C.,United Kingdom,DBpedia
Wally Bellett,Arsenal F.C.,United Kingdom,DBpedia
Stan Cubberley,Manchester United F.C.,United Kingdom,DBpedia
Olivier Giroud,Chelsea F.C.,France,DBpedia
Mathieu Debuchy,Arsenal F.C.,France,DBpedia
Jack Picken,Manchester United F.C.,United Kingdom,DBpedia
Paul Read (footballer),Arsenal F.C.,United Kingdom,DBpedia
Kevin Dennis,Arsenal F.C.,United Kingdom,DBpedia
Gavin McGowan,Arsenal F.C.,United Kingdom,DBpedia
Jimmy Ferris,Chelsea F.C.,United Kingdom,DBpedia
Jack Allister (Scottish footballer),Chelsea F.C.,United Kingdom,DBpedia
Sidney Crawford (footballer),Arsenal F.C.,United Kingdom,DBpedia
Antonio Rüdiger,Chelsea F.C.,Germany,DBpedia
David Raya,Arsenal F.C.,Spain,DBpedia
Christian Nørgaard,Arsenal F.C.,Danish Realm,DBpedia
Brooke Norton-Cuffy,Chelsea F.C.,United Kingdom,DBpedia
Caleb Wiley,Chelsea F.C.,United States,DBpedia
Karl Hein (footballer),Arsenal F.C.,Estonia,DBpedia
Jack Porter (footballer),Arsenal F.C.,United Kingdom,DBpedia
Jamie Gittens,Chelsea F.C.,United Kingdom,DBpedia
Marc Cucurella,Chelsea F.C.,Spain,DBpedia
Josh Acheampong,Chelsea F.C.,United Kingdom,DBpedia
"Marcos Alonso (footballer, born 1990)",Chelsea F.C.,Spain,DBpedia
Nemanja Matić,Manchester United F.C.,Serbia,DBpedia
Mykhailo Mudryk,Chelsea F.C.,Ukraine,DBpedia
Nathan Baxter (footballer),Chelsea F.C.,United Kingdom,DBpedia
William Saliba,Arsenal F.C.,France,DBpedia
Wojciech Szczęsny,Arsenal F.C.,Poland,DBpedia
Ruben Loftus-Cheek,Chelsea F.C.,United Kingdom,DBpedia
Ben Chilwell,Chelsea F.C.,United Kingdom,DBpedia
Mathis Amougou,Chelsea F.C.,France,DBpedia
Josh Rees,Arsenal F.C.,United Kingdom,DBpedia
"Wellington Silva (footballer, born 1993)",Arsenal F.C.,Brazil,DBpedia
Willie Carrick,Manchester United F.C.,Republic of Ireland,DBpedia
Steve Thorne,Arsenal F.C.,United Kingdom,DBpedia
Khayon Edwards,Arsenal F.C.,United Kingdom,DBpedia
"Patricio Salas (footballer, born 2004)",Chelsea F.C.,Mexico,DBpedia
Mart Poom,Arsenal F.C.,Estonia,DBpedia
Liam Bridcutt,Chelsea F.C.,United Kingdom,DBpedia
Jon Harley,Chelsea F.C.,United Kingdom,DBpedia
Alex Iwobi,Arsenal F.C.,Nigeria,DBpedia
Armando Broja,Chelsea F.C.,United Kingdom,DBpedia
Alexis Sánchez,Manchester United F.C.,Chile,DBpedia
Cesc Fàbregas,Arsenal F.C.,Spain,DBpedia
Cesc Fàbregas,Chelsea F.C.,Spain,DBpedia
Brandon Williams (footballer),Manchester United F.C.,United Kingdom,DBpedia
Bashir Humphreys,Chelsea F.C.,United Kingdom,DBpedia
"Ethan Ross (footballer, born 1997)",Arsenal F.C.,England,DBpedia
Elijah Dixon-Bonner,Arsenal F.C.,United Kingdom,DBpedia
Gerard Piqué,Manchester United F.C.,Spain,DBpedia
Isaac Hayden,Arsenal F.C.,United Kingdom,DBpedia
Harvey Vale,Chelsea F.C.,United Kingdom,DBpedia
James Vennings,Arsenal F.C.,United Kingdom,DBpedia
Joe Willock,Arsenal F.C.,United Kingdom,DBpedia
Jacob Butterfield,Manchester United F.C.,United Kingdom,DBpedia
Kelechi Nwakali,Arsenal F.C.,Nigeria,DBpedia
Mason Burstow,Chelsea F.C.,United Kingdom,DBpedia
"Luke McCormick (footballer, born 1999)",Chelsea F.C.,United Kingdom,DBpedia
Marcus McGuane,Arsenal F.C.,United Kingdom,DBpedia
Mame Biram Diouf,Manchester United F.C.,Senegal,DBpedia
"Max Thompson (footballer, born 2002)",Manchester United F.C.,United Kingdom,DBpedia
Manuel Ugarte (footballer),Manchester United F.C.,Uruguay,DBpedia
Nathaniel Chalobah,Chelsea F.C.,Sierra Leone,DBpedia
Silko Thomas,Chelsea F.C.,United Kingdom,DBpedia
Bryan Fiabema,Chelsea F.C.,Norway,DBpedia
Theo Walcott,Arsenal F.C.,United Kingdom,DBpedia
Nathan Aké,Chelsea F.C.,Netherlands,DBpedia
Kenny Morgans,Manchester United F.C.,United Kingdom,DBpedia
Nick Powell,Manchester United F.C.,United Kingdom,DBpedia
Ander Herrera,Manchester United F.C.,Spain,DBpedia
Nathan Tella,Arsenal F.C.,United Kingdom,DBpedia
"Bob Wilson (footballer, born 1941)",Arsenal F.C.,United Kingdom,DBpedia
Phil Younghusband,Chelsea F.C.,United Kingdom,DBpedia
Sid Pugh,Chelsea F.C.,United Kingdom,DBpedia
Sid Pugh,Arsenal F.C.,United Kingdom,DBpedia
Derek Saunders,Chelsea F.C.,United Kingdom,DBpedia
Gilbert Godsmark,Manchester United F.C.,United Kingdom,DBpedia
Mike Pinner,Arsenal F.C.,United Kingdom,DBpedia
Ralph Gaudie,Arsenal F.C.,United Kingdom,DBpedia
Reg Tricker,Arsenal F.C.,Pakistan,DBpedia
"John Browning (footballer, born 1888)",Chelsea F.C.,Scotland,DBpedia
John Clarkin,Manchester United F.C.,United Kingdom,DBpedia
Stan Crowther (footballer),Chelsea F.C.,United Kingdom,DBpedia
Johnny Meadows (English footballer),Chelsea F.C.,England,DBpedia
Ronald Brebner,Chelsea F.C.,United Kingdom,DBpedia
Emmanuel Petit,Arsenal F.C.,France,DBpedia
Ryan Bertrand,Chelsea F.C.,United Kingdom,DBpedia
Michael Woods (footballer),Chelsea F.C.,United Kingdom,DBpedia
Jacob Mellis,Chelsea F.C.,United Kingdom,DBpedia
Marouane Fellaini,Manchester United F.C.,Belgium,DBpedia
Raimond van der Gouw,Manchester United F.C.,Netherlands,DBpedia
Mel Charles,Arsenal F.C.,United Kingdom,DBpedia
Dale Jasper,Chelsea F.C.,United Kingdom,DBpedia
"James Watson (footballer, born 1879)",Chelsea F.C.,Scotland,DBpedia
Proctor Hall,Manchester United F.C.,United Kingdom,DBpedia
"James Robertson (footballer, born 1929)",Arsenal F.C.,United Kingdom,DBpedia
Michy Batshuayi,Chelsea F.C.,Belgium,DBpedia
Pierre-Emerick Aubameyang,Arsenal F.C.,France,DBpedia
Pascal Cygan,Arsenal F.C.,France,DBpedia
Darron Gibson,Manchester United F.C.,Northern Ireland,DBpedia
Regan Charles-Cook,Arsenal F.C.,United Kingdom,DBpedia
Rhys Taylor,Manchester United F.C.,United Kingdom,DBpedia
Jay Bothroyd,Arsenal F.C.,United Kingdom,DBpedia
John Thorrington,Manchester United F.C.,South Africa,DBpedia
"Geoff Thomas (footballer, born 1948)",Manchester United F.C.,United Kingdom,DBpedia
Antonio Murray,Chelsea F.C.,United Kingdom,DBpedia
"Danny Rose (footballer, born 1988)",Manchester United F.C.,United Kingdom,DBpedia
Danny Ferguson,Manchester United F.C.,United Kingdom,DBpedia
David Bain (Scottish footballer),Manchester United F.C.,United Kingdom,DBpedia
Albert Kinsey,Manchester United F.C.,United Kingdom,DBpedia
Lee Francis (footballer),Arsenal F.C.,United Kingdom,DBpedia
Alex Caie,Arsenal F.C.,United Kingdom,DBpedia
Hugh Dolby,Chelsea F.C.,India,DBpedia
"David Jackson (footballer, born 1958)",Manchester United F.C.,England,DBpedia
Norman Sidey,Arsenal F.C.,United Kingdom,DBpedia
Bob Gordon (footballer),Arsenal F.C.,United Kingdom,DBpedia
Tommy Ritchie,Manchester United F.C.,Northern Ireland,DBpedia
Colin Stockton,Chelsea F.C.,United Kingdom,DBpedia
Gary Hulmes,Manchester United F.C.,United Kingdom,DBpedia
Lycurgus Burrows,Arsenal F.C.,United Kingdom,DBpedia
Wes Brown,Manchester United F.C.,England,DBpedia
Sebastian Larsson,Arsenal F.C.,Sweden,DBpedia
Aaron Ramsey,Arsenal F.C.,United Kingdom,DBpedia
"Fabio (footballer, born 1990)",Manchester United F.C.,Brazil,DBpedia
Geremi,Chelsea F.C.,Cameroon,DBpedia
Joel Ideho,Arsenal F.C.,Netherlands,DBpedia
Patrick van Aanholt,Chelsea F.C.,Netherlands,DBpedia
Luke Hendrie,Manchester United F.C.,United Kingdom,DBpedia
Paul Vaessen,Arsenal F.C.,United Kingdom,DBpedia
John Aston Sr.,Manchester United F.C.,United Kingdom,DBpedia
Alf Kirchen,Arsenal F.C.,United Kingdom,DBpedia
Bethell Robinson,Manchester United F.C.,United Kingdom,DBpedia
Bill Bainbridge,Manchester United F.C.,United Kingdom,DBpedia
Bill Fielding,Manchester United F.C.,United Kingdom,DBpedia
Charlie Craven,Manchester United F.C.,United Kingdom,DBpedia
John Snedden,Arsenal F.C.,Scotland,DBpedia
Scott McGarvey,Manchester United F.C.,United Kingdom,DBpedia
"Matt Barrass (footballer, born 1980)",Manchester United F.C.,United Kingdom,DBpedia
Laurent Charvet,Chelsea F.C.,France,DBpedia
Gerrit Keizer,Arsenal F.C.,Netherlands,DBpedia
Carlo Sartori,Manchester United F.C.,Italy,DBpedia
Danny Hollands,Chelsea F.C.,United Kingdom,DBpedia
Jay Richardson (footballer),Chelsea F.C.,United Kingdom,DBpedia
Owen Jones (footballer),Manchester United F.C.,United Kingdom,DBpedia
Konstantinos Balogiannis,Arsenal F.C.,Greece,DBpedia
Jeffrey Bruma,Chelsea F.C.,Netherlands,DBpedia
Henry Lawrence (footballer),Chelsea F.C.,United Kingdom,DBpedia
Malang Sarr,Chelsea F.C.,France,DBpedia
Marcel Desailly,Chelsea F.C.,Ghana,DBpedia
Shaun Wright-Phillips,Chelsea F.C.,United Kingdom,DBpedia
Matthew Upson,Arsenal F.C.,United Kingdom,DBpedia
Frank Fidler,Manchester United F.C.,United Kingdom,DBpedia
Noel O'Brien (English footballer),Arsenal F.C.,United Kingdom,DBpedia
D'Mani Mellor,Manchester United F.C.,United Kingdom,DBpedia
Jack Eggett,Arsenal F.C.,United Kingdom,DBpedia
Morris Bates,Arsenal F.C.,United Kingdom,DBpedia
Len Julians,Arsenal F.C.,United Kingdom,DBpedia
Gabriel Obertan,Manchester United F.C.,France,DBpedia
John Hartson,Arsenal F.C.,United Kingdom,DBpedia
Massimo Taibi,Manchester United F.C.,Italy,DBpedia
Roger Byrne,Manchester United F.C.,United Kingdom,DBpedia
David Neave,Arsenal F.C.,United Kingdom,DBpedia
David Pryde (footballer),Arsenal F.C.,United Kingdom,DBpedia
Eric Parsons,Chelsea F.C.,United Kingdom,DBpedia
Ernest Williams (footballer),Chelsea F.C.,United Kingdom,DBpedia
Teddy Bateup,Arsenal F.C.,United Kingdom,DBpedia
"Paul Smith (footballer, born 1967)",Arsenal F.C.,United Kingdom,DBpedia
Luke Steele (footballer),Manchester United F.C.,United Kingdom,DBpedia
Lauren (Cameroonian footballer),Arsenal F.C.,Cameroon,DBpedia
Patrick Bamford,Chelsea F.C.,United Kingdom,DBpedia
"George Anderson (footballer, born 1891)",Manchester United F.C.,United Kingdom,DBpedia
Neil Sullivan,Chelsea F.C.,United Kingdom,DBpedia
"Tommy Leigh (footballer, born 1875)",Manchester United F.C.,United Kingdom,DBpedia
Alexei Rojas,Arsenal F.C.,United Kingdom,DBpedia
Cam'ron Ismail,Arsenal F.C.,United Kingdom,DBpedia
Graham Wilkins,Chelsea F.C.,United Kingdom,DBpedia
Henry Small (footballer),Manchester United F.C.,United Kingdom,DBpedia
Norrie Fairgray,Chelsea F.C.,United Kingdom,DBpedia
Peter Pickering,Chelsea F.C.,United Kingdom,DBpedia
"Glen Johnson (footballer, born 1952)",Arsenal F.C.,United Kingdom,DBpedia
Frazer Shaw,Arsenal F.C.,United Kingdom,DBpedia
Tommy Spicer (footballer),Arsenal F.C.,United Kingdom,DBpedia
Arthur Rosbotham,Arsenal F.C.,United Kingdom,DBpedia
Ian Wright,Arsenal F.C.,United Kingdom,DBpedia
David Bentley,Arsenal F.C.,United Kingdom,DBpedia
Quincy Owusu-Abeyie,Arsenal F.C.,Netherlands,DBpedia
Kieran O'Hara,Manchester United F.C.,United Kingdom,DBpedia
Alex Stepney,Chelsea F.C.,United Kingdom,DBpedia
Zane Monlouis,Arsenal F.C.,United Kingdom,DBpedia
Billy Bannister,Arsenal F.C.,England,DBpedia
Billy Draycott,Manchester United F.C.,England,DBpedia
Billy Brawn,Chelsea F.C.,United Kingdom,DBpedia
Bob McNeil (footballer),Chelsea F.C.,United Kingdom,DBpedia
Brian Walsh (English footballer),Arsenal F.C.,United Kingdom,DBpedia
Graham Moore (footballer),Chelsea F.C.,United Kingdom,DBpedia
Joey Williams,Arsenal F.C.,United Kingdom,DBpedia
Keith Dublin,Chelsea F.C.,United Kingdom,DBpedia
Kevin McKinlay,Chelsea F.C.,Scotland,DBpedia
Kevin Pilkington,Manchester United F.C.,United Kingdom,DBpedia
Matt Wicks,Arsenal F.C.,United Kingdom,DBpedia
Philip Mulryne,Manchester United F.C.,United Kingdom,DBpedia
Roy Goulden,Arsenal F.C.,United Kingdom,DBpedia
Bert Humpish,Arsenal F.C.,United Kingdom,DBpedia
David Ijaha,Chelsea F.C.,United Kingdom,DBpedia
Matthew Williams (footballer),Manchester United F.C.,United Kingdom,DBpedia
Billy Spittle,Arsenal F.C.,England,DBpedia
Fankaty Dabo,Chelsea F.C.,United Kingdom,DBpedia
Alan Livingstone,Chelsea F.C.,Scotland,DBpedia
"Charlie Gilmour (footballer, born 1999)",Arsenal F.C.,United Kingdom,DBpedia
James Olayinka,Arsenal F.C.,United Kingdom,DBpedia
Jack Henry-Francis,Arsenal F.C.,United Kingdom,DBpedia
Frank Haydock,Manchester United F.C.,United Kingdom,DBpedia
"Fred Davis (footballer, born 1871)",Arsenal F.C.,United Kingdom,DBpedia
Phil Driver,Chelsea F.C.,United Kingdom,DBpedia
Philip Priest,Chelsea F.C.,United Kingdom,DBpedia
Ron Tilsed,Arsenal F.C.,England,DBpedia
Rob Howard (footballer),Arsenal F.C.,United Kingdom,DBpedia
"Jack Lee (footballer, born 1890)",Chelsea F.C.,United Kingdom,DBpedia
Jack Whitley,Chelsea F.C.,England,DBpedia
Jack Southam,Arsenal F.C.,United Kingdom,DBpedia
Jackie Mooney,Manchester United F.C.,Republic of Ireland,DBpedia
Jimmy Clare,Chelsea F.C.,United Kingdom,DBpedia
Jimmy Paterson,Arsenal F.C.,United Kingdom,DBpedia
Walter Toomer,Chelsea F.C.,United Kingdom,DBpedia
Arinse Uade,Arsenal F.C.,United Kingdom,DBpedia
Paddy McNair,Manchester United F.C.,Northern Ireland,DBpedia
Anthony Stokes,Arsenal F.C.,Republic of Ireland,DBpedia
Patrice Evra,Manchester United F.C.,Senegal,DBpedia
Ignasi Miquel,Arsenal F.C.,Spain,DBpedia
"Liam O'Brien (footballer, born 1964)",Manchester United F.C.,Republic of Ireland,DBpedia
Andy Comyn,Manchester United F.C.,England,DBpedia
Kyle Nix,Manchester United F.C.,Australia,DBpedia
Michael Black (footballer),Arsenal F.C.,United Kingdom,DBpedia
Alan Skirton,Arsenal F.C.,United Kingdom,DBpedia
Alan Mayes,Chelsea F.C.,United Kingdom,DBpedia
Richard Flash,Manchester United F.C.,United Kingdom,DBpedia
"James Moore (footballer, born 1987)",Manchester United F.C.,United Kingdom,DBpedia
Robert Evans (English footballer),Arsenal F.C.,United Kingdom,DBpedia
Ato Ampah,Chelsea F.C.,Ghana,DBpedia
Bukayo Saka,Arsenal F.C.,United Kingdom,DBpedia
Christopher Nkunku,Chelsea F.C.,France,DBpedia
Axel Disasi,Chelsea F.C.,France,DBpedia
Gabriel Magalhães,Arsenal F.C.,Brazil,DBpedia
Jimi Tauriainen,Chelsea F.C.,Finland,DBpedia
Ishé Samuels-Smith,Chelsea F.C.,United Kingdom,DBpedia
Raheem Sterling,Arsenal F.C.,Jamaica,DBpedia
Matt Turner (soccer),Arsenal F.C.,United States,DBpedia
Reece James,Chelsea F.C.,United Kingdom,DBpedia
Roméo Lavia,Chelsea F.C.,Belgium,DBpedia
Tommy Setford,Arsenal F.C.,Netherlands,DBpedia
Viktor Gyökeres,Arsenal F.C.,Sweden,DBpedia
Shim Mheuka,Chelsea F.C.,United Kingdom,DBpedia
Romelu Lukaku,Manchester United F.C.,Belgium,DBpedia
Trevoh Chalobah,Chelsea F.C.,Sierra Leone,DBpedia
Tosin Adarabioyo,Chelsea F.C.,United Kingdom,DBpedia
Alexandre Pato,Chelsea F.C.,Brazil,DBpedia
Ashley Cole,Arsenal F.C.,United Kingdom,DBpedia
Michael Owen,Manchester United F.C.,United Kingdom,DBpedia
Conor Henderson,Arsenal F.C.,England,DBpedia
Elton Monteiro,Arsenal F.C.,Switzerland,DBpedia
Sead Hajrović,Arsenal F.C.,Switzerland,DBpedia
Gilles Sunu,Arsenal F.C.,France,DBpedia
Christos Sielis,Arsenal F.C.,Cyprus,DBpedia
Billy Bryant,Manchester United F.C.,United Kingdom,DBpedia
Willie Huck,Arsenal F.C.,France,DBpedia
William Sarvis,Manchester United F.C.,United Kingdom,DBpedia
Danny McLaren,Arsenal F.C.,Scotland,DBpedia
Robbie Johnson,Arsenal F.C.,United Kingdom,DBpedia
Ben Foster (footballer),Manchester United F.C.,United Kingdom,DBpedia
Torreira,Arsenal F.C.,Uruguay,DBpedia
Alfie Gilchrist,Chelsea F.C.,United Kingdom,DBpedia
Brandon Austin,Chelsea F.C.,United Kingdom,DBpedia
Ben Sheaf,Arsenal F.C.,United Kingdom,DBpedia
Chido Obi,Manchester United F.C.,Denmark,DBpedia
Danny Welbeck,Arsenal F.C.,United Kingdom,DBpedia
Daniel Ballard,Arsenal F.C.,United Kingdom,DBpedia
Eddie Nketiah,Arsenal F.C.,United Kingdom,DBpedia
Ethan Galbraith,Manchester United F.C.,Northern Ireland,DBpedia
"Diego León (footballer, born 2007)",Manchester United F.C.,Paraguay,DBpedia
Iké Ugbo,Chelsea F.C.,United Kingdom,DBpedia
Jack Butland,Manchester United F.C.,United Kingdom,DBpedia
Jay Dasilva,Chelsea F.C.,United Kingdom,DBpedia
Jadon Sancho,Chelsea F.C.,United Kingdom,DBpedia
Josh Grant (footballer),Chelsea F.C.,United Kingdom,DBpedia
Kenedy (footballer),Chelsea F.C.,Brazil,DBpedia
Kasey Palmer,Chelsea F.C.,United Kingdom,DBpedia
Leny Yoro,Manchester United F.C.,France,DBpedia
Đorđe Petrović (footballer),Chelsea F.C.,Serbia,DBpedia
Tyler Fredricson,Manchester United F.C.,United Kingdom,DBpedia
Zain Westbrooke,Chelsea F.C.,United Kingdom,DBpedia
Loïc Rémy,Chelsea F.C.,France,DBpedia
Zoran Tošić,Manchester United F.C.,Serbia,DBpedia
Ángel Di María,Manchester United F.C.,Argentina,DBpedia
Louis Saha,Manchester United F.C.,France,DBpedia
Adam Eckersley,Manchester United F.C.,United Kingdom,DBpedia
Lee Chapman,Arsenal F.C.,United Kingdom,DBpedia
Lee Hills (footballer),Arsenal F.C.,United Kingdom,DBpedia
Cliff Birkett,Manchester United F.C.,United Kingdom,DBpedia
Alex Downie (footballer),Manchester United F.C.,United Kingdom,DBpedia
Giuliano Maiorana,Manchester United F.C.,United Kingdom,DBpedia
Mike Pinner,Chelsea F.C.,United Kingdom,DBpedia
Mike Brolly,Chelsea F.C.,United Kingdom,DBpedia
Ralph Guthrie,Arsenal F.C.,United Kingdom,DBpedia
"Joe Davies (footballer, born 1864)",Manchester United F.C.,United Kingdom,DBpedia
John Chenhall,Arsenal F.C.,United Kingdom,DBpedia
John Banks (footballer),Manchester United F.C.,United Kingdom,DBpedia
John Compton (footballer),Chelsea F.C.,United Kingdom,DBpedia
"John Dunn (footballer, born 1944)",Chelsea F.C.,United Kingdom,DBpedia
Julian Dowe,Manchester United F.C.,United Kingdom,DBpedia
Stephen Beatty,Chelsea F.C.,Northern Ireland,DBpedia
Stephen Cosgrove (footballer),Manchester United F.C.,United Kingdom,DBpedia
Joel Nouble,Chelsea F.C.,United Kingdom,DBpedia
Andrew Swann (footballer),Arsenal F.C.,United Kingdom,DBpedia
Eric Newman (footballer),Arsenal F.C.,United Kingdom,DBpedia
Dave Clelland,Arsenal F.C.,United Kingdom,DBpedia
Charlie Dyke,Chelsea F.C.,United Kingdom,DBpedia
Gary Locke (English footballer),Chelsea F.C.,United Kingdom,DBpedia
Duncan Edwards,Manchester United F.C.,United Kingdom,DBpedia
Danny Higginbotham,Manchester United F.C.,United Kingdom,DBpedia
Jan Šebek,Chelsea F.C.,Czech Republic,DBpedia
Ovie Ejaria,Arsenal F.C.,United Kingdom,DBpedia
Paul Rachubka,Manchester United F.C.,United States,DBpedia
Steve Sidwell,Arsenal F.C.,United Kingdom,DBpedia
"John Cunliffe (footballer, born 1984)",Manchester United F.C.,United Kingdom,DBpedia
Bobby McFarlane,Arsenal F.C.,Scotland,DBpedia
Peter Brabrook,Chelsea F.C.,United Kingdom,DBpedia
Dessie Baker,Manchester United F.C.,Republic of Ireland,DBpedia
Keith Amos,Arsenal F.C.,United Kingdom,DBpedia
Damien Allen,Manchester United F.C.,United Kingdom,DBpedia
"James Montgomery (footballer, born 1890)",Manchester United F.C.,United Kingdom,DBpedia
Seth Plum,Chelsea F.C.,United Kingdom,DBpedia
"Jack Ball (footballer, born 1907)",Manchester United F.C.,United Kingdom,DBpedia
Jimmy Mulholland,Chelsea F.C.,United Kingdom,DBpedia
"Mike Ryan (footballer, born 1930)",Arsenal F.C.,United Kingdom,DBpedia
Carlos Vela,Arsenal F.C.,Mexico,DBpedia
David Pegg,Manchester United F.C.,United Kingdom,DBpedia
Matthew Connolly,Arsenal F.C.,United Kingdom,DBpedia
Shinji Kagawa,Manchester United F.C.,Japan,DBpedia
Folarin Balogun,Arsenal F.C.,United States,DBpedia
Peter Osgood,Chelsea F.C.,United Kingdom,DBpedia
Denis Suárez,Arsenal F.C.,Spain,DBpedia
Gary Cahill,Chelsea F.C.,United Kingdom,DBpedia
Garth Crooks,Manchester United F.C.,United Kingdom,DBpedia
Herbie Roberts,Arsenal F.C.,United Kingdom,DBpedia
Ulises Dávila,Chelsea F.C.,Mexico,DBpedia
Arturo Lupoli,Arsenal F.C.,Italy,DBpedia
Anthony Barness,Chelsea F.C.,United Kingdom,DBpedia
Willie Anderson (footballer),Manchester United F.C.,United Kingdom,DBpedia
"Dave Donaldson (footballer, born 1954)",Arsenal F.C.,United Kingdom,DBpedia
Karl Goddard,Manchester United F.C.,United Kingdom,DBpedia
Justin Oboavwoduo,Manchester United F.C.,United Kingdom,DBpedia
Tom Connell (footballer),Manchester United F.C.,Northern Ireland,DBpedia
Tommy Kinsella,Arsenal F.C.,Republic of Ireland,DBpedia
Tommy Meehan,Manchester United F.C.,United Kingdom,DBpedia
Hugh Wales,Chelsea F.C.,Scotland,DBpedia
Cameron Borthwick-Jackson,Manchester United F.C.,United Kingdom,DBpedia
Horace Cope,Arsenal F.C.,United Kingdom,DBpedia
Tony Hunston,Chelsea F.C.,Republic of Ireland,DBpedia
Max Haygarth,Manchester United F.C.,United Kingdom,DBpedia
Kyle Bartley,Arsenal F.C.,United Kingdom,DBpedia
Johan Djourou,Arsenal F.C.,Ivory Coast,DBpedia
Bert Murray,Chelsea F.C.,England,DBpedia
Harry Worley,Chelsea F.C.,United Kingdom,DBpedia
Charni Ekangamene,Manchester United F.C.,Belgium,DBpedia
Jimmy Glass,Chelsea F.C.,United Kingdom,DBpedia
John Doherty (English footballer),Manchester United F.C.,United Kingdom,DBpedia
Billy Blyth,Arsenal F.C.,Scotland,DBpedia
Charlie Freeman,Chelsea F.C.,United Kingdom,DBpedia
Ralph Milne,Manchester United F.C.,United Kingdom,DBpedia
John Moody (footballer),Manchester United F.C.,United Kingdom,DBpedia
"John Smith (footballer, born 1921)",Chelsea F.C.,United Kingdom,DBpedia
Sam Kirkwood,Arsenal F.C.,United Kingdom,DBpedia
